id,referrer_url,heard_ea,is_ea,metaethics,cause_import_poverty,cause_import_environmentalism,cause_import_animals,cause_import_rationality,cause_import_politics,cause_import_ai,cause_import_xrisk,cause_import_non_ai_far_future,cause_import_cause_prioritization,cause_import_meta,cause_import_other,diet,first_heard_EA,invovled_personal_contact,involved_80K,involved_TLYCS,involved_lesswrong,involved_GWWC,involved_givewell,involved_friends,involved_online_ea,involved_local_EA,friendcount,donate_2013_c,income_2013_c,donate_80K,donate_amf,donate_ace,donate_cea,donate_cfar,donate_dtw,donate_gd,donate_gw,donate_gwwc,donate_thl,donate_leverage,donate_miri,donate_phc,donate_sci,donate_vo,career_path,age,gender,student,country,city,religion,ea_id
1428,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1429,http://survey.effectivealtruismhub.com/?s=14,Yes,Yes,Consequentialist/utilitarian,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,NA,Meat-eating,LessWrong,No,No,No,Yes,No,No,No,No,No,0-5 friends,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1430,http://survey.effectivealtruismhub.com/?s=14,No,No,"No opinion, or not familiar with these terms",Yes,No,No,No,No,No,No,Yes,No,No,NA,Other,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,5,3200,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Research,23,Male,Yes,Switzerland,NA,"Atheist, agnostic or non-religious",NA
1431,http://survey.effectivealtruismhub.com/?s=14,No,No,"No opinion, or not familiar with these terms",No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,NA,Meat-eating,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1432,http://survey.effectivealtruismhub.com/?t3,Yes,Yes,Consequentialist/utilitarian,Yes,No,No,No,No,No,No,No,No,No,NA,Meat-eating,Giving What We Can,No,No,No,No,No,No,No,No,Yes,Over 20 friends,£150,£1000,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Earning to Give,20,Male,Yes,United Kingdom,Leamington Spa,"Atheist, agnostic or non-religious",f78a1084666b4bb5f236e33be456ceb3
1433,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1434,http://survey.effectivealtruismhub.com/,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1435,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1436,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Consequentialist/utilitarian,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,NA,Vegan,Facebook,Yes,No,No,No,No,No,No,No,No,0-5 friends,180 €,8200,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Direct charity/non-profit work,26,Male,Yes,Germany,Mannheim,"Atheist, agnostic or non-religious",f00655d05d39399ace969548e724e0a5
1437,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1438,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Other,No,No,Yes,No,No,No,No,No,No,No,rational politics,Vegan,Friend,No,No,No,No,No,No,Yes,No,No,Over 20 friends,1500 CHF (Switzerland),about 7000 CHF (Switzerland),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Direct charity/non-profit work,31,Male,No,Switzerland,Bern,"Atheist, agnostic or non-religious",48917708da5004bdde899c5a7c1e4bc4
1439,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Consequentialist/utilitarian,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,NA,Vegan,Friend,No,No,No,No,No,No,Yes,No,Yes,Over 20 friends,"1000 (CH, Swiss franc)","18'000 (CH, Swiss franc)",No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Earning to Give,23,Male,Yes,Switzerland,St.Gallen,"Atheist, agnostic or non-religious",NA
1440,http://survey.effectivealtruismhub.com/?s=9,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1441,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Consequentialist/utilitarian,Yes,No,Yes,Yes,No,No,No,Yes,No,No,NA,Vegan,Other,Yes,No,No,No,No,No,Yes,No,Yes,Over 20 friends,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Direct charity/non-profit work,26,Male,No,Switzerland,Basel,"Atheist, agnostic or non-religious",dcae3c4ae72bc3c6077af838066cf1c6
1442,http://survey.effectivealtruismhub.com/?s=9,Yes,N/A,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,No,NA,Vegan,Friend,No,No,No,No,No,No,Yes,No,No,6-10 friends,CHF 55000,CHF 65000,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,NA,28,Male,No,Switzerland,Schindellegi,"Atheist, agnostic or non-religious",338bba7fb352b0df5191ad9ee96b2efe
1443,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,NA,Yes,No,Yes,No,Yes,No,No,No,No,No,NA,Vegetarian,Friend,Yes,No,No,No,No,No,Yes,No,Yes,11-20 friends,100 CHF,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Research,23,Female,Yes,Switzerland,Bern,"Atheist, agnostic or non-religious",NA
1444,http://survey.effectivealtruismhub.com/?s=14,No,No,Consequentialist/utilitarian,No,Yes,Yes,Yes,No,No,No,No,No,No,NA,Reducing the amount of meat I eat,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1445,http://survey.effectivealtruismhub.com/?t,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1446,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1447,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Consequentialist/utilitarian,No,No,No,Yes,No,No,No,No,No,Yes,NA,Vegan,Friend,No,No,No,No,No,No,No,No,Yes,11-20 friends,50 Swiss Francs,10'000 Swiss Francs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Earning to Give,22,Female,Yes,Switzerland,basel,"Atheist, agnostic or non-religious",NA
1448,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1449,http://survey.effectivealtruismhub.com/?s=9,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1450,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1451,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1452,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1453,http://survey.effectivealtruismhub.com/?s=14,No,No,Virtue ethics,No,No,No,Yes,No,No,No,No,No,No,NA,Reducing the amount of meat I eat,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1454,http://survey.effectivealtruismhub.com/?s=14,Yes,No,NA,No,No,No,Yes,No,No,No,No,Yes,No,NA,Meat-eating,The Life You Can Save,No,No,Yes,No,No,No,No,No,No,0-5 friends,0,50000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,N/A,NA,NA,NA,NA
1456,http://survey.effectivealtruismhub.com/?s=9,No,No,Consequentialist/utilitarian,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Meat-eating,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1457,http://survey.effectivealtruismhub.com/?t,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1458,http://survey.effectivealtruismhub.com/?s=14,No,No,Consequentialist/utilitarian,Yes,No,No,Yes,Yes,No,No,No,No,No,NA,Meat-eating,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1459,http://survey.effectivealtruismhub.com/?t,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,NA,Near vegetarian,Friend,No,No,No,No,No,Yes,Yes,Yes,No,0-5 friends,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,17,Female,Yes,United States,Overland Park,Christian,14b9672fc3ed155239d2771ce6c7201c
1460,http://survey.effectivealtruismhub.com/?s=14,Yes,Yes,Consequentialist/utilitarian,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,N/A,NA,NA,NA,NA
1461,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Consequentialist/utilitarian,Yes,Yes,No,Yes,No,No,No,No,No,No,NA,Vegan,LessWrong,No,No,No,Yes,No,No,No,No,No,0-5 friends,15000,70000,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Earning to Give,24,Male,No,Australia,Melbourne,"Atheist, agnostic or non-religious",78ae78b21758a06e73101ca6cebf01ba
1462,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1463,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1464,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1465,http://survey.effectivealtruismhub.com/?s=14,Yes,No,Consequentialist/utilitarian,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,NA,Meat-eating,LessWrong,No,No,No,Yes,No,No,No,No,No,0-5 friends,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Earning to Give,19,Female,Yes,United Kingdom,London,"Atheist, agnostic or non-religious",cab816a299eddd40312afd80948a1e47
1466,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1467,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1468,http://survey.effectivealtruismhub.com/?s=9,No,No,Consequentialist/utilitarian,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,NA,Reducing the amount of meat I eat,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1469,http://survey.effectivealtruismhub.com/?t,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1470,http://survey.effectivealtruismhub.com/?s=9,Yes,No,Virtue ethics,No,No,No,No,No,No,No,No,No,No,dysgenics,Other,LessWrong,No,No,No,No,No,No,No,No,No,0-5 friends,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None of these,23,Male,Yes,Croatia,zagreb,"Atheist, agnostic or non-religious",NA
1471,http://survey.effectivealtruismhub.com/?t,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1472,http://survey.effectivealtruismhub.com/?t,Yes,Yes,Consequentialist/utilitarian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Reducing the amount of meat I eat,Other,No,Yes,No,No,No,No,No,No,No,0-5 friends,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,78f0ce35977eeecc3b7a0338ec08f7c2
1473,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1474,http://survey.effectivealtruismhub.com/?t,Yes,Yes,Consequentialist/utilitarian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Reducing the amount of meat I eat,Other,No,Yes,No,No,No,No,No,No,No,0-5 friends,0,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Other,31,Male,No,United States,"Washington, DC","Atheist, agnostic or non-religious",78f0ce35977eeecc3b7a0338ec08f7c2
1475,http://survey.effectivealtruismhub.com/?s=14,Yes,No,Consequentialist/utilitarian,Yes,No,No,Yes,Yes,No,No,No,No,No,"Space exploration, Life Extension",Meat-eating,GiveWell,No,No,No,Yes,No,Yes,No,No,No,6-10 friends,1000 USD,140000 USD,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Earning to Give,27,Male,No,Norway,Oslo,"Atheist, agnostic or non-religious",1df30bdff3a253f4e9ef9e270777116c
1476,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1477,http://survey.effectivealtruismhub.com/?s=9,No,N/A,Consequentialist/utilitarian,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,NA,Vegetarian,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,30,Male,No,United States,"Madison, WI","Atheist, agnostic or non-religious",NA
1478,http://survey.effectivealtruismhub.com/?s=9,N/A,N/A,NA,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,N/A,NA,NA,NA,NA
1479,http://survey.effectivealtruismhub.com/?s=14,Yes,Yes,Consequentialist/utilitarian,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,NA,Near vegetarian,LessWrong,Yes,No,No,Yes,No,Yes,Yes,No,No,11-20 friends,10000,60000,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Research,26,Female,Yes,United States,"Cambridge, MA","Atheist, agnostic or non-religious",79349e2d141d4e196ac4cb55393fe8f4
1480,http://survey.effectivealtruismhub.com/?s=9,Yes,Yes,Consequentialist/utilitarian,No,No,Yes,No,No,No,No,No,Yes,No,NA,Vegetarian,Friend,Yes,No,No,No,No,No,No,No,No,6-10 friends,NA,$32000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Direct charity/non-profit work,51,Male,No,United States,"Toledo, Ohio","Atheist, agnostic or non-religious",NA
1481,http://survey.effectivealtruismhub.com/?s=9,Yes,No,Consequentialist/utilitarian,Yes,No,No,No,Yes,No,No,No,Yes,Yes,NA,Near vegetarian,Friend,No,No,Yes,No,No,No,No,No,No,0-5 friends,200,20000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Research,29,Female,Yes,United States,NA,"Atheist, agnostic or non-religious",261bba75ef222ceb75309f69cb58d57a
